,Dem,T_DryBulb,T_DewPnt,fest,dlf,dfnl,D_cf,med,des,der,med_d,des_d,d_s,d,j,l,m,s,v,w,d_cf,j_cf,l_cf,m_cf,s_cf,v_cf,w_cf
2015-01-01 00:00:00,0.5559524798537842,17,6,1,0,1,,0.46618758826950235,0.037952127663644517,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 01:00:00,0.5320677909778184,19,6,1,0,1,,0.4445044446290604,0.038645231223907214,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 02:00:00,0.5149538921658221,20,7,1,0,1,,0.43125363462656807,0.04030484453635482,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 03:00:00,0.5065215585278724,21,7,1,0,1,,0.4262274653152779,0.04246541798040845,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 04:00:00,0.5077677162083576,22,6,1,0,1,,0.43050594001827697,0.047255979857592736,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 05:00:00,0.5208108332641024,21,5,1,0,1,,0.4481183019024674,0.06441222526885831,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 06:00:00,0.5405832017944671,21,5,1,0,1,,0.4757414638198887,0.10293972850220588,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 07:00:00,0.5522555454016782,21,5,1,0,1,,0.5103431087480269,0.10744988155571841,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 08:00:00,0.5702832931793637,21,5,1,0,1,,0.5490155354324168,0.07770767586936779,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 09:00:00,0.5893495056907867,24,5,1,0,1,,0.5724432998255379,0.05772045262985286,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 10:00:00,0.6037218576057157,26,5,1,0,1,,0.5830356401096619,0.047610035392157864,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 11:00:00,0.6085818725596078,28,5,1,0,1,,0.58739719199136,0.04140762998917546,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 12:00:00,0.6077926393619673,30,6,1,0,1,,0.5718202209852954,0.04621547387399104,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 13:00:00,0.6045941679820553,31,6,1,0,1,,0.5426185926725928,0.06678757931102391,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 14:00:00,0.6011049264766969,32,6,1,0,1,,0.5139154274320844,0.0894744722965413,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 15:00:00,0.6106588020270831,31,7,1,0,1,,0.49958461410650495,0.10755379379828986,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 16:00:00,0.660089723352995,31,7,1,0,1,,0.514704660629725,0.11884181387302609,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 17:00:00,0.7071529450859849,30,8,1,0,1,,0.5264185428262856,0.13918377622960845,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 18:00:00,0.6998421533604718,30,9,1,0,1,,0.5215169892830439,0.1466045152891774,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 19:00:00,0.6808590180277477,30,9,1,0,1,,0.5179446705989864,0.1402048590670417,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 20:00:00,0.6585112569577137,30,10,1,0,1,,0.5119215751433082,0.1277363358311036,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 21:00:00,0.6251973082994101,30,11,1,0,1,,0.49534767799285534,0.10662429733124981,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 22:00:00,0.5791725513001579,31,12,1,0,1,,0.46963529118551134,0.08371547081500974,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 23:00:00,0.5352247237683808,32,13,1,0,1,,0.43910442801362465,0.0710601823180226,,12.049306305557863,1.8263495181136276,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 00:00:00,0.5023261610035723,31,14,0,0,0,v_cf,0.44689291351665694,0.0477914498640904,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-01-02 01:00:00,0.48134917338207195,32,14,0,0,0,v_cf,0.4262690039046274,0.04860171947156414,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-01-02 02:00:00,0.47196145218908364,31,14,0,0,0,v_cf,0.4174613275733156,0.04947179125705876,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
